Date_Time,Buy_Count,Sell_Count,B_S,Position,Close
2024-04-25 18:30:00+00:00,9,14,-5,No Signal,17468.94727
2024-04-25 19:30:00+00:00,6,13,-7,No Signal,17431.89648
2024-04-26 13:30:00+00:00,9,14,-5,No Signal,17675.44727
2024-04-26 14:30:00+00:00,10,19,-9,No Signal,17709.61133
2024-04-26 15:30:00+00:00,10,22,-12,No Signal,17718.58203
2024-04-26 16:30:00+00:00,10,24,-14,No Signal,17763.23047
2024-04-26 17:30:00+00:00,9,22,-13,No Signal,17721.0332
2024-04-26 18:30:00+00:00,9,21,-12,No Signal,17759.11523
2024-04-26 19:30:00+00:00,10,21,-11,No Signal,17712.13672
2024-04-29 13:30:00+00:00,5,39,-34,No Signal,17771.32422
2024-04-29 14:30:00+00:00,6,38,-32,No Signal,17754.18555
2024-04-29 15:30:00+00:00,9,38,-29,No Signal,17780.45703
2024-04-29 16:30:00+00:00,6,34,-28,No Signal,17799.07031
2024-04-29 17:30:00+00:00,8,32,-24,No Signal,17763.20898
2024-04-29 18:30:00+00:00,8,21,-13,No Signal,17722.92188
2024-04-29 19:30:00+00:00,8,30,-22,No Signal,17783.92578
2024-04-30 13:30:00+00:00,13,10,3,No Signal,17710.95898
2024-04-30 14:30:00+00:00,19,11,8,No Signal,17649.12695
2024-04-30 15:30:00+00:00,20,7,13,No Signal,17643.67383
2024-04-30 16:30:00+00:00,31,6,25,Long,17578.48047
2024-04-30 17:30:00+00:00,29,6,23,No Signal,17571.43164
2024-04-30 18:30:00+00:00,31,4,27,No Signal,17569.28711
2024-04-30 19:30:00+00:00,33,4,29,No Signal,17445.03516
2024-05-01 13:30:00+00:00,44,2,42,No Signal,17352.28906
2024-05-01 14:30:00+00:00,44,3,41,No Signal,17336.27344
2024-05-01 15:30:00+00:00,40,4,36,No Signal,17346.02344
2024-05-01 16:30:00+00:00,43,4,39,No Signal,17331.23828
2024-05-01 17:30:00+00:00,28,4,24,No Signal,17443.54883
2024-05-01 18:30:00+00:00,12,11,1,No Signal,17598.71484
2024-05-01 19:30:00+00:00,32,2,30,No Signal,17316.33594
2024-05-02 13:30:00+00:00,21,7,14,No Signal,17390.92969
2024-05-02 14:30:00+00:00,18,8,10,No Signal,17415.75586
2024-05-02 15:30:00+00:00,14,8,6,No Signal,17431.38086
2024-05-02 16:30:00+00:00,8,10,-2,No Signal,17496.13477
2024-05-02 17:30:00+00:00,8,10,-2,No Signal,17519.11523
2024-05-02 18:30:00+00:00,7,11,-4,No Signal,17564.24414
2024-05-02 19:30:00+00:00,9,16,-7,No Signal,17545.35938
2024-05-03 13:30:00+00:00,2,29,-27,Short,17834.09766
2024-05-03 14:30:00+00:00,3,25,-22,No Signal,17834.30859
2024-05-03 15:30:00+00:00,3,28,-25,No Signal,17875.4043
2024-05-03 16:30:00+00:00,3,24,-21,No Signal,17881.8457
2024-05-03 17:30:00+00:00,4,16,-12,No Signal,17908.99219
2024-05-03 18:30:00+00:00,8,13,-5,No Signal,17908.10742
